File,Window_Sec,Window_Index,Binarization,LZC_Normalized,LZC_Custom,Variance,SNR,Binary_Balance
P001-1-trimmed.mat,30,2,mean,0.012698139904216484,0.00026454458133784344,0.24631947,-0.7182587,0.64655
P001-1-trimmed.mat,30,2,adaptive,0.008729971184148833,0.00026454458133784344,0.24631947,-0.7182587,0.6229833333333333
P001-1-trimmed.mat,30,3,median,0.025131735227095126,0.00026454458133784344,0.073244415,-4.898669,0.4995833333333333
P001-1-trimmed.mat,30,3,mean,0.024338101483081596,0.00026454458133784344,0.073244415,-4.898669,0.51625
P001-1-trimmed.mat,30,3,adaptive,0.017989031530973355,0.00026454458133784344,0.073244415,-4.898669,0.4823
P001-1-trimmed.mat,30,4,median,0.011375416997527267,0.00026454458133784344,0.24421611,-0.7090035,0.49993333333333334
P001-1-trimmed.mat,30,4,mean,0.011904506160202954,0.00026454458133784344,0.24421611,-0.7090035,0.6463
P001-1-trimmed.mat,30,4,adaptive,0.011904506160202954,0.00026454458133784344,0.24421611,-0.7090035,0.6200833333333333
P001-1-trimmed.mat,45,0,median,0.015726186830725464,0.00018286263756657516,0.09402234,-4.308573,0.49998888888888887
P001-1-trimmed.mat,45,0,mean,0.01206893407939396,0.00018286263756657516,0.09402234,-4.308573,0.48631111111111114
P001-1-trimmed.mat,45,0,adaptive,0.011337483529127659,0.00018286263756657516,0.09402234,-4.308573,0.4714888888888889
P001-1-trimmed.mat,45,1,median,0.02633221980958682,0.00018286263756657516,0.0790765,-4.821456,0.49972222222222223
P001-1-trimmed.mat,45,1,mean,0.017006225293691488,0.00018286263756657516,0.0790765,-4.821456,0.4620222222222222
P001-1-trimmed.mat,45,1,adaptive,0.01353183517992656,0.00018286263756657516,0.0790765,-4.821456,0.4435777777777778
P001-1-trimmed.mat,45,2,median,0.2068176430877965,0.00018286263756657516,0.13816124,-0.41345507,0.49466666666666664
P001-1-trimmed.mat,45,2,mean,0.009691719791028484,0.00018286263756657516,0.13816124,-0.41345507,0.7881888888888889
